date_time,category,account,amount,currency,tags
29-11-2025 00:00,Job,acct_1,49,BYN,tag_1
29-11-2025 00:00,Job,acct_1,18,BYN,tag_2
29-11-2025 00:00,Job,acct_1,32,BYN,tag_3
29-11-2025 00:00,Job,acct_1,109,BYN,tag_4
28-11-2025 00:00,Second work,acct_1,132,BYN,2th_work
25-11-2025 00:00,Debt return / Borrowed money,acct_1,49,BYN,tag_5
25-11-2025 00:00,Job,acct_1,18,BYN,tag_1
22-11-2025 00:00,Job,acct_1,44,BYN,tag_1
22-11-2025 00:00,Job,acct_1,10,BYN,tag_2
22-11-2025 00:00,Job,acct_1,11,BYN,tag_3
20-11-2025 00:00,Job,acct_1,133,BYN,tag_4
18-11-2025 00:00,Job,acct_1,17,BYN,tag_1
15-11-2025 00:00,Job,acct_1,49,BYN,tag_2
15-11-2025 00:00,Job,acct_1,19,BYN,tag_1
15-11-2025 00:00,Job,acct_1,31,BYN,tag_3
15-11-2025 00:00,Debt return / Borrowed money,acct_2,17,BYN,tag_5
13-11-2025 00:00,Job,acct_1,31,BYN,tag_4
11-11-2025 00:00,Job,acct_1,17,BYN,tag_1
11-11-2025 00:00,Job,acct_1,76,BYN,tag_4
09-11-2025 00:00,Second work,acct_1,133,BYN,2th_work
08-11-2025 00:00,Job,acct_1,49,BYN,tag_2
08-11-2025 00:00,Job,acct_1,10,BYN,tag_1
08-11-2025 00:00,Job,acct_1,38,BYN,tag_3
07-11-2025 00:00,Gift,acct_1,178,BYN,tag_5
07-11-2025 00:00,Gift,acct_1,16,BYN,tag_5
04-11-2025 00:00,Gift,acct_2,3,BYN,tag_5
01-11-2025 00:00,Job,acct_1,28,BYN,tag_3
28-10-2025 00:00,Gift,acct_1,176,BYN,tag_5
28-10-2025 00:00,Job,acct_1,23,BYN,tag_2
28-10-2025 00:00,Job,acct_1,75,BYN,tag_1
26-10-2025 00:00,Job,acct_1,42,BYN,tag_2
26-10-2025 00:00,Job,acct_1,12,BYN,tag_1
25-10-2025 00:00,Second work,acct_1,371,BYN,2th_work
25-10-2025 00:00,Job,acct_1,29,BYN,tag_3
21-10-2025 00:00,Job,acct_1,33,BYN,tag_1
20-10-2025 00:00,Debt return / Borrowed money,acct_1,1345,BYN,tag_5
20-10-2025 00:00,Job,acct_1,67,BYN,tag_4
20-10-2025 00:00,Gift,acct_3,13,BYN,tag_5
18-10-2025 00:00,Job,acct_1,27,BYN,tag_2
18-10-2025 00:00,Job,acct_1,14,BYN,tag_1
18-10-2025 00:00,Job,acct_1,10,BYN,tag_3
